#{"t_start": 1753290495.435851, "env_id": "intersection-v0"}
r,l,t
10.0,10,241.583927
8.0,8,241.822929
0.0,6,242.031265
3.0,8,242.184423
9.0,9,242.368091
0.0,6,242.646745
9.0,9,242.920103
9.0,9,243.102107
-1.0,5,243.266231
-2.0,4,243.409115
9.0,9,243.656282
9.0,9,244.065516
-1.0,5,244.171949
0.0,6,244.345409
9.0,9,244.734685
9.618511,11,245.033463
0.0,6,245.236968
1.0,7,245.527198
-0.57992,5,245.731765
8.0,8,245.996354
-1.0,5,246.101625
-1.0,5,246.284014
-1.0,5,246.515502
0.0,6,246.716701
0.0,6,246.912201
0.0,6,247.08397
10.0,10,247.30291
0.0,6,247.509759
0.0,6,247.649719
1.61852,9,247.930325
1.0,7,248.089224
0.0,6,248.372625
9.0,9,248.712613
0.0,6,248.95382
0.0,6,249.11278
8.0,8,249.341778
0.0,6,249.576503
9.0,9,249.87934
0.0,5,250.004296
9.0,9,250.276513
-1.0,5,250.475443
8.0,8,250.754888
-1.0,5,250.879779
-1.0,5,251.01559
9.0,9,251.320006
0.0,6,251.570602
10.0,10,251.768008
-1.0,5,251.945001
8.681208,10,252.224053
-1.208208,6,252.464607
9.0,9,252.750177
1.0,7,252.985522
-1.0,5,253.127453
9.0,9,253.440972
-1.0,5,253.714001
10.0,10,254.113732
9.0,9,254.484219
9.0,9,254.736266
0.0,6,254.948407
11.0,11,255.319823
0.0,5,255.446979
10.0,10,255.917773
0.0,5,256.070589
9.0,9,256.235562
10.0,10,256.608427
9.0,9,256.798632
9.0,9,256.976193
10.0,10,257.249808
0.0,6,257.468259
10.0,10,257.687124
9.0,9,258.006909
9.0,10,258.349152
9.0,9,258.681826
-1.0,5,258.858857
-1.0,5,259.014736
0.0,6,259.241077
0.0,6,259.412855
0.0,6,259.573609
-1.0,5,259.719355
9.0,9,259.893284
-1.0,5,260.09719
-1.0,6,260.347773
0.0,6,260.525934
-1.84084,4,260.698236
1.0,7,260.885667
0.0,6,261.119758
7.0,7,261.337417
-0.299923,5,261.532312
0.0,6,261.654034
9.0,9,262.023978
10.0,10,262.502057
0.0,6,262.599183
-1.0,5,262.786065
-2.318366,5,262.93491
8.0,8,263.154757
0.0,6,263.309058
8.0,8,263.548057
-1.318719,6,263.733854
8.0,8,263.896633
10.0,10,264.135357
0.0,5,264.342855
7.681208,9,264.521567
