#{"t_start": 1753289101.764769, "env_id": "highway-fast-v0"}
r,l,t
2.113158,3,55.924129
1.846796,3,55.961005
5.046446,6,56.036005
14.913112,17,56.237712
1.180129,2,56.264625
5.779321,7,56.351481
5.846446,7,56.438198
2.886431,4,56.488471
6.646446,8,56.587415
12.446445,14,56.75104
11.046445,12,56.896405
1.953097,3,56.934184
4.913118,6,57.007583
4.712642,6,57.080778
3.046492,4,57.133233
5.046446,6,57.207748
1.846796,3,57.245663
7.046445,8,57.343347
7.046446,8,57.440559
19.019779,20,57.678572
5.579779,7,57.763861
17.91264,20,58.001623
6.046446,7,58.087011
12.046445,13,58.244136
13.953112,16,58.439368
7.91249,9,58.548654
4.380124,6,58.623753
3.15311,4,58.674314
14.945516,17,58.877655
1.846796,3,58.916219
1.846796,3,58.955012
2.313158,3,58.994034
1.846796,3,59.031841
10.353112,12,59.177207
8.379779,10,59.2979
7.719307,9,59.407504
13.046445,14,59.573892
6.779779,8,59.670696
10.153112,11,59.804063
16.046445,17,60.004832
8.246446,10,60.122398
2.046796,3,60.1603
3.112647,4,60.211808
1.019667,2,60.239907
5.813112,7,60.323642
6.753112,8,60.418655
8.979779,10,60.537724
5.113112,6,60.611623
5.046446,6,60.684811
1.846796,3,60.723054
9.046445,10,60.842091
6.079779,7,60.926529
3.713118,5,61.818012
3.046492,4,61.867747
5.579779,7,61.95587
3.179785,4,62.00613
6.619779,8,62.101472
4.913112,6,62.176955
11.47978,13,62.333459
4.153112,5,62.395742
3.046492,4,62.444862
7.046445,8,62.540132
3.819779,5,62.602263
1.313463,2,62.629225
5.046446,6,62.702747
8.713112,10,62.826665
2.046796,3,62.865653
3.97978,5,62.927307
4.646446,6,63.000064
1.019667,2,63.029118
17.046445,18,63.243634
6.779779,8,63.341859
11.21264,12,63.486696
6.313112,7,63.570567
10.013112,11,63.702626
5.579779,7,63.788768
8.979779,10,63.907993
13.684995,15,64.083565
1.153,2,64.11158
8.979779,10,64.230889
13.046445,15,64.410052
4.646446,6,64.482784
1.846796,3,64.521124
5.813112,7,64.606121
1.180129,2,64.633376
2.046796,3,64.672048
9.679779,11,64.802835
1.180129,2,64.829627
3.046492,4,64.880357
1.980129,3,64.918321
5.153112,6,64.993359
8.979779,10,65.112652
18.17978,19,65.333699
7.746445,9,65.44158
12.41264,14,65.607016
8.713112,10,65.726477
14.779779,16,65.915857
15.179779,16,66.107808
5.313112,6,66.181337
6.179157,7,66.26589
5.813112,7,66.35131
9.679779,11,66.481902
10.046445,11,66.613242
9.679779,11,66.743962
1.246796,2,66.770507
5.046446,6,66.844688
3.713118,5,66.908142
4.953112,6,66.982382
2.153097,3,67.020326
4.153112,5,67.08197
2.779825,4,67.132321
2.046796,3,67.170887
4.646446,6,67.245873
1.846796,3,67.283526
2.779825,4,67.334747
11.879779,13,67.489448
6.079779,7,67.577539
9.313112,11,67.707124
8.246446,10,67.830248
7.153112,8,67.927859
15.05264,16,68.116123
3.15311,4,68.165616
6.813112,8,68.263943
4.046452,5,68.32611
4.87978,6,68.400315
9.313112,10,68.519919
3.879785,5,68.582047
3.179785,4,68.632188
1.846796,3,68.671019
2.886444,4,68.720909
3.879785,5,68.783998
1.313463,2,68.811571
8.979779,10,68.931373
9.046445,10,69.051011
7.746445,9,69.159234
2.113158,3,69.198119
10.513417,12,69.342937
5.919779,7,69.429005
12.113112,14,69.595859
5.046446,6,69.669629
5.153112,6,69.744249
14.913112,17,69.945129
14.046445,15,70.124085
8.819779,10,70.243421
13.813112,15,70.41831
17.579779,20,70.652983
5.579779,7,70.740852
4.146446,5,70.801638
1.946796,3,70.839573
3.019777,4,70.890815
1.180129,2,70.919848
3.819779,5,70.981636
5.579779,7,71.067158
11.046445,12,71.209843
6.046446,7,71.294373
3.986445,5,71.356516
4.019155,5,71.417818
20.71264,22,71.674483
4.67978,6,71.748223
6.886445,8,71.846764
17.046445,18,72.062776
5.046446,6,72.137333
12.153112,13,72.294279
6.046446,7,72.379371
2.046796,3,72.417928
3.046492,4,72.468218
4.313113,5,72.530715
7.446445,9,72.639795
3.046492,4,72.68924
3.046452,4,72.738524
3.046452,4,72.789154
3.713118,5,72.850579
7.046446,8,72.948103
8.379779,10,73.067852
3.819779,5,73.130448
4.646446,6,73.204464
4.953112,6,73.278093
5.579779,7,73.363292
17.153112,18,73.579264
6.779779,8,73.676472
11.179779,13,73.83311
10.246445,12,73.976895
4.646446,6,74.052294
9.65249,11,74.184135
9.679779,11,74.316432
12.846445,14,74.480283
9.313112,11,74.614559
4.846446,6,74.690311
9.379307,11,74.824191
1.846796,3,74.863539
5.153112,6,74.936966
3.15311,4,74.987173
4.046452,5,75.05011
2.046796,3,75.087295
3.97978,5,75.151245
15.346451,17,75.351212
3.15311,4,75.402183
5.046446,6,75.477113
17.779779,19,75.704203
3.313118,4,75.753803
4.913112,6,75.826275
2.046796,3,75.863901
6.513112,8,75.962857
9.545823,11,76.093443
11.446445,13,76.248778
3.046492,4,76.299185
1.846796,3,76.339075
13.046445,15,76.515969
7.046446,8,76.611846
2.113158,3,76.650676
4.646446,6,76.726168
5.579779,7,76.812984
5.113112,6,76.88718
10.646445,12,77.027864
5.313112,6,77.102427
6.64675,8,77.199553
14.913112,17,77.400867
2.046796,3,77.438927
17.519779,19,77.668234
6.046446,7,77.751269
8.486445,10,77.873792
14.779779,16,78.062043
2.779825,4,78.112313
2.915471,4,78.162886
5.113112,6,78.237496
6.513112,8,78.334291
7.553112,9,78.444324
6.513112,8,78.53918
13.313112,14,78.706879
10.11249,12,78.848728
10.379157,12,78.995154
13.179779,14,79.164456
13.979779,16,79.352657
6.779779,8,79.449143
5.846446,7,79.535634
7.046445,8,79.632461
13.046445,14,79.798012
11.879779,13,79.952891
11.613112,13,80.106941
11.153112,12,80.250718
4.646446,6,80.323409
2.213158,3,80.362354
4.046452,5,80.423873
10.646445,12,80.565886
2.153097,3,80.608447
3.819779,5,80.67214
5.046446,6,80.74738
1.953097,3,80.786422
4.846446,6,80.861799
4.646446,6,80.935079
12.579779,14,81.101476
7.153112,8,81.198685
3.713118,5,81.259846
1.846796,3,81.299351
1.846796,3,81.338085
10.313112,11,81.470568
4.146446,5,81.533125
3.879785,5,81.595715
14.779779,16,81.788949
3.879785,5,81.850043
13.179779,15,82.028346
11.179779,13,82.183475
5.279317,6,82.258981
2.153097,3,82.298161
1.946796,3,82.337602
11.613112,13,82.496679
9.313112,10,82.617607
2.046796,3,82.655428
7.046445,8,82.750603
7.313112,8,82.84658
6.513112,8,82.946778
1.180129,2,82.973485
1.946796,3,83.011276
4.712496,6,83.083266
1.846796,3,83.121682
4.046452,5,83.184019
19.613112,21,83.429252
4.046452,5,83.491486
5.046446,6,83.566732
14.086445,16,83.755227
5.779317,7,83.841233
10.646445,12,83.98285
6.779779,8,84.079503
6.779779,8,84.176625
5.579779,7,84.262477
3.046452,4,84.312278
4.646446,6,84.38587
9.786445,11,84.517549
5.813112,7,84.601767
1.953097,3,84.63997
8.379779,10,84.758687
15.479779,17,84.958029
6.079779,7,85.042187
7.945973,9,85.151355
3.046492,4,85.201208
6.313112,7,85.286233
2.886444,4,85.336683
12.046445,13,85.489339
2.046796,3,85.52847
7.313112,8,85.643566
11.179779,13,85.796696
16.446445,18,86.006985
1.846796,3,86.04534
10.985973,12,86.188722
3.15311,4,86.237446
2.046796,3,86.274657
11.879779,13,86.428736
9.046445,10,86.550399
11.313112,12,86.69348
6.779779,8,86.790455
9.679779,11,86.9219
16.446445,18,87.135469
4.046452,5,87.196409
3.313118,4,87.245497
2.046796,3,87.284836
16.046445,17,87.483996
7.745973,9,87.592905
4.046452,5,87.655419
5.046446,6,87.729324
6.046446,7,87.81529
7.719779,9,87.923093
2.046796,3,87.962108
5.813112,7,88.04864
6.886445,8,88.146056
1.180129,2,88.173577
5.813112,7,88.258291
1.946796,3,88.296584
8.013112,9,88.403361
10.753112,12,88.546606
3.94598,5,88.607696
8.379779,10,88.72774
9.313112,10,88.845388
3.046452,4,88.89647
1.019667,2,88.92348
4.646446,6,88.997401
8.21264,9,89.107433
1.846796,3,89.14469
8.153112,9,89.254002
7.746445,9,89.362424
4.046452,5,89.423453
12.579779,14,89.58814
14.313112,15,89.763753
1.946796,3,89.803228
9.153112,10,89.923654
1.846796,3,89.961234
2.886444,4,90.010515
7.046446,8,90.10742
15.046445,16,90.295446
2.946492,4,90.345215
5.046446,6,90.418242
5.846446,7,90.503926
2.053097,3,90.541387
2.313158,3,90.579633
4.085974,5,90.642183
1.846796,3,90.680665
4.953112,6,90.754445
10.046445,11,90.88471
3.713118,5,90.945975
2.779825,4,90.996954
5.046446,6,91.070107
12.046445,13,91.225332
1.946796,3,91.264007
2.046796,3,91.302575
7.713112,9,91.410037
8.579779,10,91.530029
6.153112,7,91.615106
4.646446,6,91.690186
15.91264,17,91.891722
20.419779,22,92.148709
2.113158,3,92.186526
4.846446,6,92.261162
1.946796,3,92.300512
4.013118,5,92.360815
9.313112,11,92.491436
13.979779,16,92.684325
10.513112,12,92.827428
2.046796,3,92.864805
7.446445,9,92.972072
6.019307,7,93.057386
2.046796,3,93.097222
6.913113,8,93.194682
2.046796,3,93.233402
1.246796,2,93.261697
6.779779,8,93.359463
6.779779,8,93.456218
6.779779,8,93.553149
13.546445,15,93.729235
3.046492,4,93.779206
3.046492,4,93.830653
5.046446,6,93.904587
6.153112,7,93.990784
4.846446,6,94.063408
13.546445,15,94.240506
8.046445,9,94.348782
5.046446,6,94.42272
14.513112,16,94.613517
5.046446,6,94.687882
3.713118,5,94.749888
6.513112,8,94.848171
2.313158,3,94.887425
2.046796,3,94.926131
1.180129,2,94.952493
10.046445,11,95.093226
12.046445,13,95.250428
5.919779,7,95.335616
4.646446,6,95.408906
11.046445,12,95.551313
3.97978,5,95.613
3.713118,5,95.674629
9.045975,10,95.792142
6.879307,8,95.888683
4.913112,6,95.963724
9.679779,11,96.094345
1.313463,2,96.120886
7.313112,8,96.217486
9.786445,11,96.34861
11.613112,13,96.504178
4.745974,6,96.578643
9.579779,11,96.711164
16.313112,17,96.914168
6.779779,8,97.011354
7.446445,9,97.117884
9.313112,11,97.250756
10.153112,11,97.383428
1.846796,3,97.421321
4.646446,6,97.495494
2.313158,3,97.534964
1.086334,2,97.563014
14.513112,17,97.767702
6.313112,7,97.85274
1.946796,3,97.891238
5.579779,7,97.977065
13.046445,15,98.155166
3.713118,5,98.216595
9.679779,11,98.350422
11.379307,13,98.504765
4.846446,6,98.579272
7.153112,8,98.676676
3.713118,5,98.738901
2.046796,3,98.776725
6.153112,7,98.863558
8.013112,9,98.972819
2.846021,4,99.023143
6.513112,8,99.119561
3.879785,5,99.180733
3.879785,5,99.243038
1.313463,2,99.271578
11.719779,13,99.425695
12.086445,14,99.59406
8.713112,10,99.711467
2.313158,3,99.749896
11.379307,13,99.903919
19.453112,21,100.149063
7.313113,9,100.257986
17.046445,19,100.486464
2.046796,3,100.524928
8.979779,10,100.644428
7.446445,9,100.752842
6.046446,7,100.840886
3.046492,4,100.890708
6.779779,8,100.987933
4.153112,5,101.050854
8.379779,10,101.171085
7.613417,9,101.280779
6.513112,8,101.378972
7.746445,9,101.487493
17.413112,19,101.710908
10.753112,12,101.853198
11.179779,13,102.007601
1.846796,3,102.045744
0.982442,2,102.073939
9.786445,11,102.207372
5.313112,6,102.281404
6.313112,7,102.367481
5.813112,7,102.454681
1.846796,3,102.493563
18.486445,20,102.72655
12.379779,14,102.894507
5.846446,7,102.9824
8.046445,9,103.093191
16.779779,19,103.320453
9.81264,11,103.452624
6.046446,7,103.5392
3.046492,4,103.588934
15.346446,17,103.790479
2.046796,3,103.82852
2.313158,3,103.867288
10.753112,12,104.013268
13.413112,15,104.193446
2.053097,3,104.231973
7.746445,9,104.341573
9.679779,11,104.475734
8.686348,10,104.596993
13.046445,14,104.765032
5.153112,6,104.840339
1.953097,3,104.878365
1.313463,2,104.904506
2.046796,3,104.943409
13.979779,16,105.135884
6.779779,8,105.231642
7.046445,8,105.330091
6.513112,8,105.428389
10.153112,11,105.5627
16.579779,18,105.774264
5.686445,7,105.85979
6.513112,8,105.956841
10.046445,11,106.088636
3.913118,5,106.149506
7.046446,8,106.24611
1.846796,3,106.285437
6.619779,8,106.382359
5.579779,7,106.466944
1.180129,2,106.492586
6.513112,8,106.589617
7.446445,9,106.699542
12.219779,14,106.866684
4.619779,6,106.939691
1.019667,2,106.966976
8.713112,10,107.087947
3.879785,5,107.15046
18.079307,20,107.391008
6.952641,8,107.4863
7.713112,9,107.5972
7.046446,8,107.695578
1.846796,3,107.734501
1.946796,3,107.773498
6.886445,8,107.871494
6.046446,7,107.956558
11.446445,13,108.113904
11.179779,13,108.270398
8.713112,10,108.392378
13.846446,16,108.580646
2.046796,3,108.619128
2.053097,3,108.658155
3.179785,4,108.708442
9.313112,10,108.829022
2.046796,3,108.867769
